state,electors,rating,dem_pct,rep_pct,act_dem_electors,act_rep_electors,prop_dem_electors,prop_rep_electors
AL,9,Solid-R,37.08862516664528,62.91137483335473,0,9,3,6
AK,3,Lean-R,44.73815127615069,55.26184872384932,0,3,1,2
AZ,11,Toss-Up,50.15683167912931,49.84316832087068,11,0,6,5
AR,6,Solid-R,35.78756672201685,64.21243327798315,0,6,2,4
CA,55,Solid-D,64.9096897735854,35.0903102264146,55,0,36,19
CO,9,Likely-D,56.93831949230015,43.06168050769985,9,0,5,4
CT,7,Solid-D,60.17246380927086,39.82753619072914,7,0,4,3
DE,3,Solid-D,59.626744164984466,40.37325583501553,3,0,2,1
DC,3,Solid-D,94.46695384761944,5.533046152380555,3,0,3,0
FL,29,Toss-Up,48.305245337858445,51.69475466214156,0,29,14,15
GA,16,Toss-Up,50.11932966290864,49.88067033709135,16,0,8,8
HI,4,Solid-D,65.03266464651489,34.96733535348512,4,0,3,1
ID,4,Solid-R,34.123275147742575,65.87672485225741,0,4,1,3
IL,20,Solid-D,58.65904373280693,41.34095626719308,20,0,12,8
IN,11,Likely-R,41.80493544765033,58.19506455234967,0,11,5,6
IA,6,Toss-Up,45.81673691536295,54.183263084637055,0,6,3,3
KS,6,Likely-R,42.50657174436865,57.49342825563135,0,6,3,3
KY,8,Solid-R,36.79989709973703,63.20010290026297,0,8,3,5
LA,8,Solid-R,40.53555954370895,59.464440456291044,0,8,3,5
ME,4,Likely-D,54.672206125151725,45.32779387484829,3,1,2,2
MD,10,Solid-D,67.02904704709233,32.97095295290766,10,0,7,3
MA,11,Solid-D,67.11554954014815,32.88445045985185,11,0,7,4
MI,16,Lean-D,51.413559344409464,48.58644065559054,16,0,8,8
MN,10,Lean-D,53.63951364856667,46.36048635143333,10,0,5,5
MS,6,Solid-R,41.61501417261114,58.38498582738886,0,6,2,4
MO,10,Likely-R,42.16417935559855,57.83582064440145,0,10,4,6
MT,3,Likely-R,41.6028199079519,58.3971800920481,0,3,1,2
NE,5,Solid-R,40.215947753398275,59.784052246601725,1,4,2,3
NV,6,Lean-D,51.2231173400438,48.77688265995619,6,0,3,3
NH,4,Lean-D,53.74887584951625,46.25112415048375,4,0,2,2
NJ,14,Solid-D,58.07128358679484,41.92871641320516,14,0,8,6
NM,5,Likely-D,55.518490151719746,44.48150984828026,5,0,3,2
NY,29,Solid-D,61.72878540396053,38.27121459603948,29,0,18,11
NC,15,Toss-Up,49.315799346214185,50.684200653785815,0,15,7,8
ND,3,Solid-R,32.78259157710337,67.21740842289663,0,3,1,2
OH,18,Toss-Up,45.923302352297284,54.07669764770272,0,18,8,10
OK,7,Solid-R,33.059960503093485,66.94003949690651,0,7,2,5
OR,7,Likely-D,58.307156985441736,41.692843014558264,7,0,4,3
PA,20,Lean-D,50.59708817513885,49.40291182486116,20,0,10,10
RI,4,Solid-D,60.59935988395926,39.40064011604074,4,0,2,2
SC,9,Solid-R,44.073391250417906,55.926608749582094,0,9,4,5
SD,3,Solid-R,36.5652201383185,63.4347798616815,0,3,1,2
TN,11,Solid-R,38.172229627933646,61.82777037206635,0,11,4,7
TX,38,Lean-R,47.16927876322047,52.83072123677953,0,38,18,20
UT,6,Likely-R,39.30639487814837,60.69360512185163,0,6,2,4
VT,3,Solid-D,68.29918655280656,31.700813447193436,3,0,2,1
VA,13,Likely-D,55.15468699939991,44.84531300060009,13,0,7,6
WA,12,Solid-D,59.9255031847907,40.07449681520931,12,0,7,5
WV,5,Solid-R,30.201467686077972,69.79853231392202,0,5,2,3
WI,10,Lean-D,50.319063266533995,49.680936733466005,10,0,5,5
WY,3,Solid-R,27.519565624414906,72.4804343755851,0,3,1,2
